taxid,n,gc_mean,gc_stdev,length_mean,length_stdev
280463,1,64.5,,167676000,
3702,243,36.596318518518515,0.8261798127042989,94320730.01234567,60632454.82136659
2788,1,64.8454,,107591000,
3847,21,34.9696,0.18015311265698394,994090285.7142857,24482888.463461287
3880,7,33.39902857142857,2.3822516251887165,415046714.28571427,13642278.985006938
4081,24,35.068866666666665,1.8393237196853365,759123133.25,172062150.2702875
112509,52,44.03511730769231,1.2617718123960906,3706989323.0384617,1410456972.4237776
39947,18,43.55269444444444,0.574999804063621,360407744.4444444,81012417.69854663
4577,50,46.680826,0.447414255294594,2079912901.38,508497147.78128755
4565,51,45.162017647058825,1.770408452725628,9899477738,6489482987.220353
1408658,1,27.8,,7661460,
4896,82,36.049358536585366,0.05419144379464446,12785415.853658536,232344.23560663743
559292,2,38.23055,0.10599530649986515,12011650,205697.36264716668
227321,2,50.32105,0.06922575387815993,30052150,316571.70593721734
330879,1,49.8105,,29385000,
367110,2,48.06595,0.23468874067581832,41403100,425254.0182055897
237561,3,33.69423333333334,0.2712190320263918,14731900,466024.7203743595
347515,4,46.513125,17.19037647549252,16418608.5,18946043.64922143
185431,1,46.4407,,26075500,
5693,33,47.98044545454545,5.105702248288851,37024415.15151515,19976860.2897221
5741,33,47.572575757575756,2.863754264295199,11708666.666666666,797566.0210394289
294381,2,26.3,2.8284271247461903,23015900,3083692.6727545336
5802,2,51.36155,0.39873751391109685,52572250,958624.6632546025
353152,1,30.2256,,9102320,
508771,1,52.2873,,65668099,
5823,1,22.0454,,18780600,
31271,3,23.664233333333332,0.06265032588369533,18909366.666666668,69991.4518590187
5855,14,38.24312142857143,6.322660048183052,28557571.42857143,2361818.0742902183
333668,1,34.0411,,8347609,
6238,7,37.39512857142857,0.13817218381769994,106564571.42857143,979226.3710267844
36329,3,19.438566666666667,0.15704045126442184,23264333.333333332,28605.82691224523
484906,1,41.5312,,8228830,
5874,1,32.5492,,8358120,
284813,1,47.3005,,2497520,
5851,3,38.6072,0.012470765814495568,24237966.666666668,243129.19062369564
7159,7,36.71427142857143,3.858353729124329,1279673714.2857144,287115697.52146626
