taxid,name,n,gc_mean,gc_stdev,length_mean,length_stdev
280463,Emiliania huxleyi CCMP1516,1,64.5,,167676000,
3702,Arabidopsis thaliana,243,36.596318518518515,0.8261798127042989,94320730.01234567,60632454.82136659
2788,Neopyropia yezoensis,1,64.8454,,107591000,
3847,Glycine max,21,34.9696,0.18015311265698394,994090285.7142857,24482888.463461287
3880,Medicago truncatula,7,33.39902857142857,2.3822516251887165,415046714.28571427,13642278.985006938
4081,Solanum lycopersicum,24,35.068866666666665,1.8393237196853365,759123133.25,172062150.2702875
112509,Hordeum vulgare subsp. vulgare,52,44.03511730769231,1.2617718123960906,3706989323.0384617,1410456972.4237776
39947,Oryza sativa Japonica Group,18,43.55269444444444,0.574999804063621,360407744.4444444,81012417.69854663
4577,Zea mays,50,46.680826,0.447414255294594,2079912901.38,508497147.78128755
4565,Triticum aestivum,51,45.162017647058825,1.770408452725628,9899477738,6489482987.220353
1408658,Pneumocystis carinii B80,1,27.8,,7661460,
4896,Schizosaccharomyces pombe,82,36.049358536585366,0.05419144379464446,12785415.853658536,232344.23560663743
559292,Saccharomyces cerevisiae S288C,2,38.23055,0.10599530649986515,12011650,205697.36264716668
227321,Aspergillus nidulans FGSC A4,2,50.32105,0.06922575387815993,30052150,316571.70593721734
330879,Aspergillus fumigatus Af293,1,49.8105,,29385000,
367110,Neurospora crassa OR74A,2,48.06595,0.23468874067581832,41403100,425254.0182055897
237561,Candida albicans SC5314,3,33.69423333333334,0.2712190320263918,14731900,466024.7203743595
347515,Leishmania major strain Friedlin,4,46.513125,17.19037647549252,16418608.5,18946043.64922143
185431,Trypanosoma brucei brucei TREU927,1,46.4407,,26075500,
5693,Trypanosoma cruzi,33,47.98044545454545,5.105702248288851,37024415.15151515,19976860.2897221
5741,Giardia intestinalis,33,47.572575757575756,2.863754264295199,11708666.666666666,797566.0210394289
294381,Entamoeba histolytica HM-1:IMSS,2,26.3,2.8284271247461903,23015900,3083692.6727545336
5802,Eimeria tenella,2,51.36155,0.39873751391109685,52572250,958624.6632546025
353152,Cryptosporidium parvum Iowa II,1,30.2256,,9102320,
508771,Toxoplasma gondii ME49,1,52.2873,,65668099,
5823,Plasmodium berghei ANKA,1,22.0454,,18780600,
31271,Plasmodium chabaudi chabaudi,3,23.664233333333332,0.06265032588369533,18909366.666666668,69991.4518590187
5855,Plasmodium vivax,14,38.24312142857143,6.322660048183052,28557571.42857143,2361818.0742902183
333668,Theileria parva strain Muguga,1,34.0411,,8347609,
6238,Caenorhabditis briggsae,7,37.39512857142857,0.13817218381769994,106564571.42857143,979226.3710267844
36329,Plasmodium falciparum 3D7,3,19.438566666666667,0.15704045126442184,23264333.333333332,28605.82691224523
484906,Babesia bovis T2Bo,1,41.5312,,8228830,
5874,Theileria annulata,1,32.5492,,8358120,
284813,Encephalitozoon cuniculi GB-M1,1,47.3005,,2497520,
5851,Plasmodium knowlesi strain H,3,38.6072,0.012470765814495568,24237966.666666668,243129.19062369564
7159,Aedes aegypti,7,36.71427142857143,3.858353729124329,1279673714.2857144,287115697.52146626
6239,Caenorhabditis elegans,50,34.7793831,4.999200378431442,104002498,5321085.804971902
7227,Drosophila melanogaster,73,42.039160273972605,0.33853617102810246,140463479.43835616,12446631.399454666
7160,Aedes albopictus,8,40.4295,0.1115693250213275,2002090000,562453772.5512586
7165,Anopheles gambiae,6,40.00085,8.77456439574068,239749499.83333334,33232787.32235682
6279,Brugia malayi,4,28.45,0.0577350269189634,86336375,1937177.9429107693
7955,Danio rerio,19,37.41322631578947,1.2928644071905282,1354949736.8421052,234456912.81764856
7460,Apis mellifera,2,33.2688,0.8960457131195948,237769000,17703125.373786405
7719,Ciona intestinalis,5,36.12478,0.188892143828165,161207200,68704797.47222897
9606,Homo sapiens,1201,40.87868651124063,1.390465750285818,3019288683.427144,1789729076.6640267
10090,Mus musculus,37,42.06984594594594,0.8360764281234481,2563975648.6486487,506219164.86999846
341663,Aspergillus terreus NIH2624,1,52.8,,29364000,
296543,Thalassiosira pseudonana CCMP1335,1,46.905,,32437399,
37546,Glossina morsitans morsitans,1,34.1,,363107000,
352472,Dictyostelium discoideum AX4,1,22.4631,,34205000,
905079,Guillardia theta CCMP2712,1,52.9,,87145300,
229533,Fusarium graminearum PH-1,1,48.3278,,36458000,
4931,Saccharomyces bayanus,7,36.33847142857143,8.644721531415241,12741100,1030703.3084258535
214684,Cryptococcus neoformans var. neoformans JEC21,2,48.55225,0.02184959953866615,19131900,113137.0849898476
242507,Pyricularia oryzae 70-15,1,51.5882,,40979100,
31033,Takifugu rubripes,3,45.680233333333334,0.17153822703215119,375209666.6666667,22125502.962268073
51511,Ciona savignyi,1,37.5,,587353000,
27291,Saccharomyces paradoxus,44,38.388254545454544,0.3535462487127512,11813631.818181818,166290.15377685163
27288,Naumovozyma castellii,9,36.750655555555554,0.08662486812559919,11207855.555555556,118572.35250165942
237631,Ustilago maydis 521,1,54.0121,,19664400,
5861,Plasmodium yoelii,7,21.821885714285717,0.2476984149361973,22548728.57142857,351544.68997215567
226302,Lachancea kluyveri NRRL Y-12651,1,41.5823,,11538900,
240176,Coprinopsis cinerea okayama7#130,1,51.6,,36192600,
10116,Rattus norvegicus,16,41.003075,4.108383151151639,1616348781.25,1375678944.5538325
